Start game?;;Start!;;Start!
Hello random Individual...;;Continue...;;Continue...
This is a question game. You have to answer the questions asked.;;Continue...;;Continue...
You have to answer all questions correctly to get to the end.;;Continue...;;Continue...
Ready?;;Let's go!;;Let's go!
How many wheels does a bicycle have?;6;8;2;2
What does 'GG' mean in the gamer community?;Good God;Good game;Gay gay;Good game
What's the answer to all questions according to the movie "hitchhiker's guide to the galaxy"?;42;21;3;42
Congratulation! You did it! You finished the game. Sadly there is no price. But you can be proud of yourself. You proved that you have a lot of patience. This patience is worth a lot. It will bring you further in live :) Have a good one and never quit exploring.;;Restart;;Restart
Too bad. That was wrong! You gotta start all over again :(;;Restart;;Restart
